Question,Topic
"let \(m\) be an \(n\times n\) matrix over \(c\) with columns \(m_{1}\), \(m_{1}\), ..., \(m_{n}\). show that \(m\) belongs to \(o(n,c)\) if and only if  \[m^{\prime}_{j}m_{k}=\delta_{jk}.\]  ",bilinear forms
"let \(x\) be an \(n\times 1\) matrix over \(c\). under what conditions does \(o(n,c)\) contain a matrix \(m\) whose first column is \(x\)?  ",bilinear forms
"find a matrix in \(o(3,c)\) whose first row is \((2i,2i,3)\).  ",bilinear forms
"let \(v\) be the space of all \(n\times 1\) matrices over \(c\) and \(f\) the bilinear form on \(v\) given by \(f(x,y)=x^{\prime}y\). let \(m\) belong to \(o(n,c)\). what is the matrix of \(f\) in the basis of \(v\) consisting of the columns \(m_{1}\), \(m_{2}\), ..., \(m_{n}\) of \(m\)?  ",bilinear forms
"let \(x\) be an \(n\times 1\) matrix over \(c\) such that \(x^{\prime}x=1\), and \(i_{i}\) be the \(j\)th column of the identity matrix. show there is a matrix \(m\) in \(o(n,c)\) such that \(mx=i_{i}\). if \(x\) has real entries, show there is an \(m\) in \(o(n,r)\) with the property that \(mx=i_{i}\).  ",bilinear forms
"let \(v\) be the space of all \(n\times 1\) matrices over \(c\), \(a\) an \(n\times n\) matrix over \(c\), and \(f\) the bilinear form on \(v\) given by \(f(x,y)=x^{\prime}ay\). show that \(f\) is invariant under \(o(n,c)\), i.e., \(f(mx,my)=f(x,y)\) for all \(x\), \(y\) in \(v\) and \(m\) in \(o(n,c)\), if and only if \(a\) commutes with each member of \(o(n,c)\).  ",bilinear forms
let \(s\) be any set of \(n\times n\) matrices over \(c\) and \(s^{\prime}\) the set of all \(n\times n\) matrices over \(c\) which commute with each element of \(s\). show that \(s^{\prime}\) is an algebra over \(c\),bilinear forms
"let \(f\) be a subfield of \(c\), \(v\) a finite-dimensional vector space over \(f\), and \(f\) a non-singular bilinear form on \(v\). if \(t\) is a linear operator on \(v\) preserving \(f\), prove that \(\det t=\pm 1\).",bilinear forms
"let \(f\) be a subfield of \(c\), \(v\) the space of \(n\times 1\) matrices over \(f\), \(a\) a n invertible \(n\times n\) matrix over \(f\), and \(f\) the bilinear form on \(v\) given by \(f(x,\,y)=x^{t}a\,y\). if \(m\) is an \(n\times n\) matrix over \(f\), show that \(m\) preserves \(f\ ",bilinear forms
"for the equations x+y = 4, 2x−2y = 4, draw the row picture (two intersecting lines) and the column picture (combination of two columns equal to the column vector (4,4) on the right side).",matrices and gaussian elimination
solve to find a combination of the columns that equals b: u − v − w = b 1 triangular system v + w = b 2 w = b . 3,matrices and gaussian elimination
describe the intersection of the three planes u+v+w+z = 6 and u+w+z=4 and u+w=2 (all in four-dimensional space). is it a line or a point or an empty set? what is the intersection if the fourth plane u = −1 is included? find a fourth equation that leaves us with no solution.,matrices and gaussian elimination
sketch these three lines and decide if the equations are solvable: x + 2y = 2 3 by 2 system x − y = 2 y = 1. what happens if all right-hand sides are zero? is there any nonzero choice of right- hand sides that allows the three lines to intersect at the same point?,matrices and gaussian elimination
find two points on the line of intersection of the three planes t = 0 and z = 0 and x+y+z+t =1 in four-dimensional space.,matrices and gaussian elimination
"when b=(2,5,7), find a solution (u,v,w) to equation (4) different from the solution (1,0,1) mentioned in the text.",matrices and gaussian elimination
"give two more right-hand sides in addition to b = (2,5,7) for which equation (4) can be solved. give two more right-hand sides in addition to b=(2,5,6) for which it cannot be solved.",matrices and gaussian elimination
explain why the system u + v + w = 2 u + 2v + 3w = 1 v + 2w = 0 is singular by finding a combination of the three equations that adds up to 0 = 1. what value should replace the last zero on the right side to allow the equations to have solutions—and what is one of the solutions?,matrices and gaussian elimination
"under what condition on y , y , y do the points (0,y ), (1,y ), 1 2 3 1 2 (2,y ) lie on a straight line? 3",matrices and gaussian elimination
these equations are certain to have the solution x = y = 0. for which values of a is there a whole line of solutions? ax + 2y = 0 2x + ay = 0,matrices and gaussian elimination
"starting with x+4y=7, find the equation for the parallel line through x=0, y=0. find the equation of another line that meets the first at x=3, y=1. problems 13–15 are a review of the row and column pictures.",matrices and gaussian elimination
"draw the two pictures in two planes for the equations x−2y=0, x+y=6.",matrices and gaussian elimination
"for two linear equations in three unknowns x, y, z, the row picture will show (2 or 3) (lines or planes) in (two or three)-dimensional space. the column picture is in (two or three)-dimensional space. the solutions normally lie on a .",matrices and gaussian elimination
"for four linear equations in two unknowns x and y, the row picture shows four . the column picture is in -dimensional space. the equations have no solution unless the vector on the right-hand side is a combination of .",matrices and gaussian elimination
find a point with z = 2 on the intersection line of the planes x+y+3z = 6 and x−y+z=4. find the point with z=0 and a third point halfway between.,matrices and gaussian elimination
"the first of these equations plus the second equals the third: x + y + z = 2 x + 2y + z = 3 2x + 3y + 2z = 5. the first two planes meet along a line. the third plane contains that line, because if x, y, z satisfy the first two equations then they also . the equations have infinitely many solutions (the whole line l). find three solutions.",matrices and gaussian elimination
"move the third plane in problem 17 to a parallel plane 2x+3y+2z = 9. now the three equations have no solution—why not? the first two planes meet along the line l, but the third plane doesn’t that line.",matrices and gaussian elimination
"in problem 17 the columns are (1,1,2) and (1,2,3) and (1,1,2). this is a “singular case” because the third column is . find two combinations of the columns that give b=(2,3,5). this is only possible for b=(4,6,c) if c= .",matrices and gaussian elimination
"normally 4 “planes” in four-dimensional space meet at a . normally 4 col- umn vectors in four-dimensional space can combine to produce b. what combina- tion of (1,0,0,0), (1,1,0,0), (1,1,1,0), (1,1,1,1) produces b=(3,3,3,2)? what 4 equations for x, y, z,t are you solving?",matrices and gaussian elimination
" when equation 1 is added to equation 2, which of these are changed: the planes in the row picture, the column picture, the coefficient matrix, the solution?",matrices and gaussian elimination
"if (a,b) is a multiple of (c,d) with abcd =0, show that (a,c) is a multiple of (b,d). this is surprisingly important: call it a challenge question. you could use numbers first to see how a, b, c, and d are related. the question will lead to: if a= a b has dependent rows then it has dependent columns. c d",matrices and gaussian elimination
"in these equations, the third column (multiplying w) is the same as the right side b. the column form of the equations immediately gives what solution for (u,v,w)? 6u + 7v + 8w = 8 4u + 5v + 9w = 9 2u − 2v + 7w = 7.",matrices and gaussian elimination
"what multiple of equation 1 should be subtracted from equation 2? 2x + 3y = 1 10x + 9y = 11. after this elimination step, write down the upper triangular system and circle the two pivots. the numbers 1 and 11 have no influence on those pivots.",matrices and gaussian elimination
"solve the triangular system of problem 1 by back-substitution, y before x. verify that x times (2,10) plus y times (3,9) equals (1,11). if the right-hand side changes to (4,44), what is the new solution?",matrices and gaussian elimination
"what multiple of equation 2 should be subtracted from equation 3? 2x − 4y = 6 −x + 5y = 0. after this eliminations tep, solve thet riangular system. if the right-hand side changes to (−6,0), what is the new solution?",matrices and gaussian elimination
what multiple of equation 1 should be subtracted from equation 2? ax + by = f cx + dy = g. the first pivot is a (assumed nonzero). elimination produces what formula for the second pivot? what is y? the second pivot is missing when ad=bc.,matrices and gaussian elimination
choose a right-hand side which gives no solution and another right-hand side which gives infinitely many solutions. what are two of those solutions? 3x + 2y = 10 6x + 4y = .,matrices and gaussian elimination
choose a coefficient b that makes this system singular. then choose a right-hand side g that makes it solvable. find two solutions in that singular case. 2x + by = 16 4x + 8y = g.,matrices and gaussian elimination
"for which numbers a does elimination break down (a) permanently, and (b) temporarily? ax + 3y = −3 4x + 6y = 6. solve for x and y after fixing the second breakdown by a row exchange.",matrices and gaussian elimination
"for which three numbers k does elimination break down? which is fixed by a row exchange? in each case, is the number of solutions 0 or 1 or ∞? kx + 3y = 6 3x + ky = −6.",matrices and gaussian elimination
what test on b and b decides whether these two equations allow a solution? how 1 2 many solutions will they have? draw the column picture. 3x − 2y = b 1 6x − 4y = b . 2 problems 10–19 study elimination on 3 by 3 systems (and possible failure).,matrices and gaussian elimination
"reduce this system to upper triangular form by two row operations: 2x + 3y + z = 8 4x + 7y + 5z = 20 − 2y + 2z = 0. circle the pivots. solve by back-substitution for z, y, x.",matrices and gaussian elimination
apply elimination (circle the pivots) and back-substitution to solve 2x − 3y = 3 4x − 5y + z = 7 2x − y − 3z = 5. list the three row operations: subtract times row from row .,matrices and gaussian elimination
"12. which number d forces a row exchange, and what is the triangular system (not sin- gular) for that d? which d makes this system singular (no third pivot)? 2x + 5y + z = 0 4x + dy + z = 2 y − z = 3.",matrices and gaussian elimination
"13. which number b leads later to a row exchange? which b leads to a missing pivot? in that singular case find a nonzero solution x, y, z. x + by = 0 x − 2y − z = 0 y + z = 0.",matrices and gaussian elimination
"14. construct a 3 by 3 system that needs two row exchanges to reach a triangular form and a solution. (b) construct a 3 by 3 system that needs a row exchange to keep going, but breaks down later.",matrices and gaussian elimination
"15. if rows 1 and 2 are the same, how far can you get with elimination (allowing row exchange)? if columns 1 and 2 are the same, which pivot is missing? 2x−y+z=0 2x+2y+z=0 2x−y+z=0 4x+4y+z=0 4x+y+z=2 6x+6y+z=2.",matrices and gaussian elimination
"16. construct a 3 by 3 example that has 9 different coefficients on the left-hand side, but rows 2 and 3 become zero in elimination. how many solutions to your system with b=(1,10,100) and how many with b=(0,0,0)?",matrices and gaussian elimination
17. which number q makes this system singular and which right-hand side t gives it infinitely many solutions? find the solution that has z=1. x + 4y − 2z = 1 x + 7y − 6z = 6 3y + qz = t.,matrices and gaussian elimination
"18. it is impossible for a system of linear equations to have exactly two solutions. explain why. (a) if (x,y,z) and (x,y,z) are two solutions, what is another one? (b) if 25 planes meet at two points, where else do they meet?",matrices and gaussian elimination
"19. three planes can fail to have an intersection point, when no two planes are parallel. the system is singular if row 3 of a is a of the first two rows. find a third equation that can’t be solved if x+y+z=0 and x−2y−z=1. problems 20–22 move up to 4 by 4 and n by n.",matrices and gaussian elimination
20. find the pivots and the solution for these four equations: 2x + y = 0 x + 2y + z = 0 y + 2z + t = 0 z + 2t = 5.,matrices and gaussian elimination
"21. if you extend problem 20 following the 1, 2, 1 pattern or the −1, 2, −1 pattern, what is the fifth pivot? what is the nth pivot?",matrices and gaussian elimination
22. apply elimination and back-substitution to solve 2u + 3v = 0 4u + 5v + w = 3 2u − v − 3w = 5. what are the pivots? list the three operations in which a multiple of one row is subtracted from another.,matrices and gaussian elimination
"23. for the system u + v + w = 2 u + 3v + 3w = 0 u + 3v + 5w = 2, what is the triangular system after forward elimination, and what is the solution?",matrices and gaussian elimination
"24. solve the system and find the pivots when 2u − v = 0 −u + 2v − w = 0 − v + 2w − z = 0 − w + 2z = 5. you may carry the right-hand side as a fifth column (and omit writing u, v, w, z until the solution at the end).",matrices and gaussian elimination
"25. apply elimination to the system u + v + w = −2 3u + 3v − w = 6 u − v + w = −1. when a zero arises in the pivot position, exchange that equation for the one below it and proceed. what coefficient of v in the third equation, in place of the present −1, would make it impossible to proceed—and force elimination to break down?",matrices and gaussian elimination
"26. solve by elimination the system of two equations x − y = 0 3x + 6y = 18. draw a graph representing each equation as a straight line in the x-y plane; the lines intersect at the solution. also, add one more line—the graph of the new second equation which arises after elimination.",matrices and gaussian elimination
"27. find three values of a for which elimination breaks down, temporarily or perma- nently, in au + u = 1 4u + av = 2. breakdown at the first step can be fixed by exchanging rows—but not breakdown at the last step.",matrices and gaussian elimination
"28. true or false: (a) if the third equation starts with a zero coefficient (it begins with 0u) then no multiple of equation 1 will be subtracted from equation 3. (b) if the third equation has zero as its second coefficient (it contains 0v) then no multiple of equation 2 will be subtracted from equation (c) if the third equation contains 0u and 0v, then no multiple of equation 1 or equa- tion 2 will be subtracted from equation 3.",matrices and gaussian elimination
"29. normally the multiplication of two complex numbers (a+ib)(c+id)=(ac−bd)+i(bc+ad) involves the four separate multiplications ac, bd, be, ad. ignoring i, can you compute ac−bd and bc+ad with only three multiplications? (you may do additions, such as forming a+b before multiplying, without any penalty.)",matrices and gaussian elimination
30. use elimination to solve u + v + w = 6 u + v + w = 7 u + 2v + 2w = 11 and u + 2v + 2w = 10 2u + 3v − 4w = 3 2u + 3v − 4w = 3.,matrices and gaussian elimination
31. for which three numbers a will elimination fail to give three pivots? ax+2y+3z=b 1 ax+ay+4z=b 2 ax+ay+az=b . 3,matrices and gaussian elimination
"32. find experimentally the average size (absolute value) of the first and second and third pivots for matlab ’slu(rand(3,3)). the average of the first pivot from abs(a(1,1)) should be 0.5.",matrices and gaussian elimination
"4. if an m by n matrix a multiplies an n-dimensional vector x, how many separate multiplications are involved? what if a multiplies an n by p matrix b?",matrices and gaussian elimination
6. write down the 2 by 2 matrices a and b that have entries a = i + j and b = (−1) i + j. ij ij multiply them to find ab and ba.,matrices and gaussian elimination
7. give 3 by 3 examples (not just the zero matrix) of (a) a diagonal matrix: a=0 if i= j. ij (b) a symmetric matrix: a =a for all i and j. ij ji (c) an upper triangular matrix: a =0 if i> j. ij (d) a skew-symmetric matrix: a =−a for all i and j. ij ji,matrices and gaussian elimination
"8. do these subroutines multiply ax by rows or columns? start with b(i)=0: do 10 i = 1, n do 10 j = 1, n do 10 j = 1, n do 10 i = 1, n 10 b(i) = b(i) + a(i,j) * x(j) 10 b(i) = b(i) + a(i,j) * x(j) the outputs bx = ax are the same. the second code is slightly more efficient in fortran and much more efficient on a vector machine (the first changes single entries b(i), the second can update whole vectors).",matrices and gaussian elimination
"9. if the entries of a are a , use subscript notation to write ij (a) the first pivot. (b) the multiplier  of row 1 to be subtracted from row i. i1 (c) the new entry that replaces a after that subtraction. ij (d) the second pivot.",matrices and gaussian elimination
"10. true or false? give a specific counterexample when false. (a) if columns 1 and 3 of b are the same, so are columns 1 and 3 of ab. (b) if rows 1 and 3 of b are the same, so are rows 1 and 3 of ab. (c) if rows 1 and 3 of a are the same, so are rows 1 and 3 of ab. (d) (ab)2 =a2b2.",matrices and gaussian elimination
"12. the product of two lower triangular matrices is again lower triangular (all its entries above the main diagonal are zero). confirm this with a 3 by 3 example, and then explain how it follows from the laws of matrix multiplication.",matrices and gaussian elimination
"13. by trial and error find examples of 2 by 2 matrices such that (a) a2 =−i, a having only real entries. (b) b2 =0, although b=0. (c) cd=−dc, not allowing the casecd=0. (d) ef =0, although no entries of e or f are zero.",matrices and gaussian elimination
